ID,Артикул,Производитель,Название,Ед. Изм.,Кол-во,Кол. Вн. склады,Цена
154,CTA10D-CT32-K41-050,IEK,Держатель с защёлкой и дюбелем CT32 IEK,шт,240,,18.55
153,CTA10D-CT25-K41-100,IEK,Держатель с защёлкой и дюбелем CT25 IEK,шт,300,,21.42
151,CTA10D-CT16-K41-100,IEK,Держатель с защёлкой и дюбелем CT16 IEK,шт,300,,19.53
62567,KKM11-012-110-01,IEK,Контактор КМИ-11211 12А 110В/АС3 1НЗ IEK,шт,5,67.0,889.59
52716,ETK20-K01-DM,IEK,Розетка 2-местная телефонная РТ12-КБ КВАРТА белый IEK,шт,4,8.0,133.03
52708,EMK20-K01-DM,IEK,Рамка 2-местная горизонтальная РГ-2-КБ КВАРТА белый IEK,шт,2,107982.0,22.91
52710,EMK30-K01-DM,IEK,Рамка 3-местная горизонтальная РГ-3-КБ КВАРТА белый IEK,шт,3,6816.0,57.61
52722,EAK10-K01-DM,IEK,Розетка 1-местная телевизионная РТВ10-КБ КВАРТА белый IEK,шт,1,7369.0,117.86
52732,CKK10D-N-080-040-K01,IEK,"Угол внешний к-канала 80х40 ""Элекор"" (ИЭК)",шт,60,,48.38
52734,CKK10D-T-080-040-K01,IEK,"Угол Т-обр. к-канала 80х40 ""Элекор"" (ИЭК)",шт,20,,31.58
52726,MVA41-1-032-C,IEK,Выключатель автоматический ВА47-60 1Р 32А 6кА С IEK,шт,1,,120.39
39182,BLS10-ADDS-012-K06,IEK,Лампа AD22DS(LED)матрица d=22мм зеленый 12В AC/DC IEK,шт,14,225.0,127.83
39181,BLS10-ADDS-012-K04,IEK,Лампа AD22DS(LED)матрица d=22мм красный 12В AC/DC IEK,шт,3,987.0,127.83
62054,EVK12-K33-10-DM,IEK,Выключатель 1-клавишный проходной ВСп10-1-0-ККм 10А КВАРТА кремовый IEK,шт,6,616.0,95.77
36436,YZN10-016-K03,IEK,Зажим наборный ЗНИ-16мм2 (JXB100) серый IEK,шт,15,59038.0,76.42
39198,BPU10-2,IEK,Пульт управления ПКТ-61 на 2 кнопки IP54 IEK,шт,1,2308.0,467.38
52181,PSN42-032-4,IEK,Розетка встраиваемая ССИ-424 32А-6ч/380-415В 3Р+PЕ IP44 MAGNUM IEK,шт,20,456.0,868.69
40068,YKM10-SS-06,IEK,"Комплект силовых шин (медь, габ.6) к ПР IEK",компл,1,,3730.11
37917,LSSA0-1002-003-K03,IEK,"Светильник аварийно-эвакуационный светодиодный ССА1002 односторонний 1,5ч 3Вт ""ЗАПАСНЫЙ ВЫХОД"" IEK",шт,24,723.0,842.44
33644,MVA20-2-003-D,IEK,"Выключатель автоматический ВА47-29 2Р 3А 4,5кА D IEK",шт,13,,511.76
37863,PSR41-016-3,IEK,Розетка стационарная скрытая ССИ-413 2Р+Е 16А 200-250В IP44 IEK,шт,6,590.0,280.9
39225,UTE10-D4-0-100,IEK,"Наконечник-гильза НГИ2 4,0-12 с изолированным фланцем (серый) (100шт) IEK",упак,1,2459.0,247.43
39226,UTE10-D10-0-100,IEK,Наконечник-гильза НГИ2 10-14 с изолированным фланцем (слоновая кость) (100шт) IEK,упак,11,1292.0,453.55
66857,CKK-40D-Z-150-060-K01,IEK,Заглушка для кабель-канала ПРАЙМЕР 150х60 IEK,шт,9,20.0,171.41
51987,ITT50-2-15-0800,IEK,"Трансформатор тока ТТИ-85 800/5А 15ВА класс 0,5 IEK",шт,3,22.0,1017.09
10320,MVA20-3-006-D,IEK,"Выключатель автоматический ВА47-29 3Р 6А 4,5кА D IEK",шт,1,2599.0,725.47
40556,MNV10-4-063,IEK,Выключатель нагрузки (мини-рубильник) ВН-32 4Р 63А IEK,шт,6,2122.0,901.03
62632,TKL10-D05-D25,IEK,"Клещи обжимные КО-02 1,5-2,5мм2 IEK",шт,1,68.0,1302.0
66845,CKK-40D-SK2-K01,IEK,Суппорт металлический для КМКУ на 2 модуля IEK,шт,5,2.0,70.3
66849,CKK-40D-TV1-K01,IEK,Розетка TV оконечная РКТ-20-00-П (на 2 модуля) ПРАЙМЕР белая IEK,шт,5,,259.33
66839,CKK-40D-PD2-K01,IEK,Выключатель проходной (переключатель) двухклавишный ВК4-22-00-П (на 2 модуля) ПРАЙМЕР белый IEK,шт,2,,88.17
38352,UTE10-D1-8-100,IEK,"Наконечник-гильза НГИ2 0,5-8 с изолированным фланцем (оранжевый) (100шт) IEK",упак,34,1651.0,97.98
26160,PSR52-016-4,IEK,Вилка стационарная ССИ-514 3Р+РЕ 16А 380-415В IP44 IEK,шт,47,240.0,425.39
42589,CMA12-31-100,IEK,Скоба металлическая двухкомпонентная d31-32мм IEK,шт,50,,42.0
36701,CKK11D-A-080-020-K01,IEK,Адаптер для напольного кабель-канала КМАП 80х20 IEK,шт,6,7.0,184.22
